Date,Open,High,Low,Close,Volume,ma_10,ma_50,ma_200,rsi_14,bb_mid,bb_std,bb_upper,bb_lower,momentum_20,volatility_20
2005-06-03,7.127766395225217,7.190148943678977,6.894639276920265,6.96547269821167,750540708,6.642126893997192,5.455257558822632,4.460049448013305,86.5892163858038,6.196141147613526,0.5344770285726073,7.26509520475874,5.127187090468311,0.23473450721535438,0.31489225042450936
2005-06-06,7.018410033797424,7.300746839543935,7.0044922590319825,7.230908393859863,900134964,6.764729785919189,5.5107755374908445,4.483734936714172,88.10280652003107,6.2743306159973145,0.5664411140010375,7.407212843999389,5.14144838799524,0.2759408017460945,0.32833667666914673
2005-06-07,7.384006602983028,7.445891897912728,7.215001943763828,7.285088539123535,971947080,6.858353185653686,5.566298484802246,4.506700910329819,88.11792216895448,6.357714438438416,0.5870213647078688,7.5317571678541535,5.183671709022678,0.29687628787307085,0.319341414284468
2005-06-08,7.278379641205829,7.286829567105284,6.909303092985937,6.948074817657471,1027007964,6.916908311843872,5.616000728607178,4.527846360206604,73.42846547339913,6.422035551071167,0.5771329640167508,7.576301479104668,5.267769623037665,0.22721674244143153,0.3829560379181026
2005-06-09,7.076319022693493,7.1702660185865374,6.972928075837151,7.1158366203308105,656986356,6.980285024642944,5.66862078666687,4.55039355635643,75.35236790665891,6.490407848358155,0.5741187199944094,7.638645288346973,5.342170408369336,0.23788326562147333,0.3856809133451224
2005-06-10,7.132737117406046,7.139944393164796,6.95950771804368,7.021144866943359,507356136,7.038194036483764,5.719317197799683,4.5723268663883205,71.67395610129336,6.55723922252655,0.5527694617258315,7.662778145978213,5.451700299074887,0.2351347340813672,0.38742575145655844
2005-06-13,6.95453705612613,7.0631472295737865,6.872519783616281,7.027358055114746,511615872,7.07982382774353,5.7703714847564695,4.5940538966655735,66.90614492612517,6.623735094070435,0.5230905902725766,7.669916274615588,5.577553913525282,0.23342365784738184,0.3878667278507934
2005-06-14,6.9239667506524905,6.989828148146112,6.903089851684252,6.918001651763916,403272324,7.08250789642334,5.816629018783569,4.615452855825424,63.21079355445253,6.682513880729675,0.48338932636080156,7.649292533451279,5.7157352280080715,0.20471761409778844,0.39899566001697157
2005-06-15,6.834741638216685,6.891904007335632,6.646599044161584,6.829770565032959,834488676,7.0497010231018065,5.859491539001465,4.636925123929977,58.39431950812015,6.734296345710755,0.43639999725511436,7.607096340220983,5.861496351200526,0.17874139186626992,0.4068631457020911
2005-06-16,6.816350068208885,6.916758941455759,6.786775090997987,6.895385265350342,497997504,7.023704147338867,5.903343267440796,4.658680731058121,60.81083099622543,6.78186616897583,0.39567131867857924,7.573208806332988,5.990523531618671,0.1600602722020099,0.4017555584851288
