Ticker,year,Return[%],Sharpe,MaxDD[%],Trades,SelMetric
AAPL,2000,,,,,Sharpe
AAPL,2001,46.63261483255337,0.49363850678934584,-33.68631958531124,1.0,Sharpe
AAPL,2002,-25.827762579849285,-0.8148991459023689,-36.032664234300285,1.0,Sharpe
AAPL,2003,44.406511207145996,0.8484522141667971,-20.628249442867098,1.0,Sharpe
AAPL,2004,131.47564199325876,1.6407194767623912,-12.013324889945787,1.0,Sharpe
AAPL,2005,55.716662648313765,1.5999786757380128,-9.532909973286808,0.0,Sharpe
AAPL,2006,24.83840817377126,1.1625816851554887,-11.914625833149529,0.0,Sharpe
AAPL,2007,99.93242958974604,1.613401253465669,-19.827464628465176,1.0,Sharpe
AAPL,2008,-34.30496534246939,-0.9472591853412863,-53.59324585106082,1.0,Sharpe
AAPL,2009,103.36560854696708,1.684367795030616,-18.92160118099203,3.0,Sharpe
AAPL,2010,59.81283161747375,1.5200077554634994,-12.90920461513927,1.0,Sharpe
AAPL,2011,3.896938706389192,0.18522281499559456,-13.886436944242641,0.0,Sharpe
AAPL,2012,20.840626526664362,0.5851883504954203,-27.050424395409024,1.0,Sharpe
AAPL,2013,11.762991334503385,0.7341788135045992,-11.335724720147933,0.0,Sharpe
AAPL,2014,35.77401662703489,1.222314721326076,-10.32309101662503,1.0,Sharpe
AAPL,2015,1.8452775741906409,0.07126774886225705,-16.120858532577607,1.0,Sharpe
AAPL,2016,7.088242501816822,0.3197754593057887,-18.91464028527445,1.0,Sharpe
AAPL,2017,34.06394806327497,1.5719644181566106,-9.929940880123878,1.0,Sharpe
AAPL,2018,-13.529273797032438,-0.5628477434288074,-35.95130826189219,2.0,Sharpe
AAPL,2019,79.0454959228691,2.1091088307487595,-17.824881866639373,1.0,Sharpe
AAPL,2020,50.411631719944474,1.1570283436258284,-20.31761804566382,0.0,Sharpe
AAPL,2021,28.31444258515294,1.385309309743593,-11.078872852853827,1.0,Sharpe
AAPL,2022,-23.369524091614185,-1.3256880318393112,-25.346857725777916,1.0,Sharpe
AAPL,2023,43.369376987062026,1.554783762917862,-14.91352043969968,0.0,Sharpe
AAPL,2024,19.704957624404997,1.1069117838311278,-11.581591243085821,0.0,Sharpe
ABBV,2000,,,,,Sharpe
ABBV,2001,,,,,Sharpe
ABBV,2002,,,,,Sharpe
ABBV,2003,,,,,Sharpe
ABBV,2004,,,,,Sharpe
ABBV,2005,,,,,Sharpe
ABBV,2006,,,,,Sharpe
ABBV,2007,,,,,Sharpe
ABBV,2008,,,,,Sharpe
ABBV,2009,,,,,Sharpe
ABBV,2010,,,,,Sharpe
ABBV,2011,,,,,Sharpe
ABBV,2012,,,,,Sharpe
ABBV,2013,,,,,Sharpe
ABBV,2014,32.263181958772456,1.0669786194348316,-12.642170732524939,2.0,Sharpe
ABBV,2015,-7.384783542249607,-0.25280358567497757,-31.511650440726193,1.0,Sharpe
ABBV,2016,20.915827521356366,0.654301298757735,-16.435287957222155,1.0,Sharpe
ABBV,2017,42.31681444761187,1.8171069813441942,-7.166421911678222,1.0,Sharpe
ABBV,2018,-8.648863583677612,-0.5286668892704356,-20.343391528859765,1.0,Sharpe
ABBV,2019,33.027932992730456,2.0637491286415477,-4.720913633209567,0.0,Sharpe
ABBV,2020,21.06783483766838,0.48865293547435096,-33.82438491825505,1.0,Sharpe
ABBV,2021,28.26565408351251,1.1291363342651421,-11.801254320026644,1.0,Sharpe
ABBV,2022,33.7689648492505,1.1860526994997613,-20.552482570590314,1.0,Sharpe
ABBV,2023,3.1791364248665013,0.27767612080482884,-10.072975203110879,1.0,Sharpe
ABBV,2024,2.738716658186222,0.14145401943783062,-19.03592324533151,1.0,Sharpe
ADBE,2000,,,,,Sharpe
ADBE,2001,3.8820460379306128,0.06137839805355211,-31.799525365760438,1.0,Sharpe
ADBE,2002,-4.2030454561500665,-0.08119928597558451,-39.9427516133855,1.0,Sharpe
ADBE,2003,28.007974161817785,0.5999106483561121,-17.670161061117472,1.0,Sharpe
ADBE,2004,56.09320920683167,1.263562809663367,-13.729108807983415,1.0,Sharpe
ADBE,2005,30.969865568951843,0.7519955986709004,-19.87318390603289,1.0,Sharpe
ADBE,2006,26.665311369323735,1.12860800221412,-11.279491951018361,0.0,Sharpe
ADBE,2007,6.696501154251109,0.2735628243275803,-14.92103110495757,1.0,Sharpe
ADBE,2008,0.0,,-0.0,0.0,Sharpe
ADBE,2009,59.264402937088015,0.7707983755410454,-34.20933459330302,0.0,Sharpe
ADBE,2010,11.44792613273621,0.3385806070647927,-22.67736739304479,0.0,Sharpe
ADBE,2011,3.5874092100524826,0.12334670143448057,-25.077163609807084,1.0,Sharpe
ADBE,2012,29.90184936676027,1.218764113934159,-11.728665633801693,1.0,Sharpe
ADBE,2013,48.19063157604218,1.405670479924748,-9.736188574602899,1.0,Sharpe
ADBE,2014,10.278437632026671,0.3681106887729555,-22.87129980579796,1.0,Sharpe
ADBE,2015,26.665598213653542,0.9027375648948482,-13.859642328227517,2.0,Sharpe
ADBE,2016,9.568521279678372,0.38485040674863036,-18.901798998336794,1.0,Sharpe
ADBE,2017,54.69088724822997,1.7101209466155372,-9.604986528962034,1.0,Sharpe
ADBE,2018,22.196731615905772,0.4988659081240867,-25.524398728154363,0.0,Sharpe
ADBE,2019,42.84092176376343,1.3006533617227245,-15.99881511165211,0.0,Sharpe
ADBE,2020,28.45589670715335,0.46603568451986005,-25.330220822094784,1.0,Sharpe
ADBE,2021,2.257122110595701,0.07896156267455698,-20.104285779960264,1.0,Sharpe
ADBE,2022,-8.820580800476073,-0.3028120563777557,-38.881748143309316,0.0,Sharpe
ADBE,2023,34.52836480407716,0.9617146144714225,-17.958864238789197,1.0,Sharpe
ADBE,2024,-15.82978395629885,-0.8010243274325688,-24.518279709434886,0.0,Sharpe
AMT,2000,,,,,Sharpe
AMT,2001,-64.84059543305509,-3.0291981136230923,-72.29264039151626,2.0,Sharpe
AMT,2002,231.4859488290302,0.6598221782963393,-33.865517920132284,1.0,Sharpe
AMT,2003,127.53140364635883,1.152239072962444,-15.066680212609008,0.0,Sharpe
AMT,2004,54.647343305509736,1.1813389089334105,-19.90733036983896,1.0,Sharpe
AMT,2005,22.491890709382897,1.266028932211561,-8.080019393164317,0.0,Sharpe
AMT,2006,8.02799823319845,0.36585546439542793,-17.59539215307996,1.0,Sharpe
AMT,2007,8.289734776790773,0.30996484396141427,-17.59299101036811,1.0,Sharpe
AMT,2008,-23.827685159134653,-0.5208360173971887,-55.81524599319523,1.0,Sharpe
AMT,2009,41.3361390188136,0.8819331205575373,-19.703481647365596,1.0,Sharpe
AMT,2010,9.753328549183188,0.783686749944076,-6.623237035690854,0.0,Sharpe
AMT,2011,21.00104417313956,1.131565599062412,-5.278255861183889,0.0,Sharpe
AMT,2012,28.896508186037686,1.3719848211447154,-5.307889425878553,1.0,Sharpe
AMT,2013,9.092158005504752,0.45599168029108134,-16.43133893380989,1.0,Sharpe
AMT,2014,23.840507956059408,1.255226041442751,-8.410144062632485,1.0,Sharpe
AMT,2015,-0.35999355671037847,-0.02453352554173563,-13.790454546386687,1.0,Sharpe
AMT,2016,16.121003425934706,0.6766720475878945,-13.973112642959407,0.0,Sharpe
AMT,2017,37.90041865714382,1.7666160493830438,-8.967092937995524,0.0,Sharpe
AMT,2018,4.056266333988242,0.20886681079554187,-11.707849096037604,1.0,Sharpe
AMT,2019,44.62287841726087,1.7079548952882786,-14.208054807694893,0.0,Sharpe
AMT,2020,0.0,,-0.0,0.0,Sharpe
AMT,2021,36.75072991418048,1.3782627141418355,-15.653580202896645,0.0,Sharpe
AMT,2022,-21.46423733915226,-0.8607461397279076,-34.00816943893267,1.0,Sharpe
AMT,2023,22.915109222776664,1.0978093238006614,-13.530392908304044,0.0,Sharpe
AMT,2024,-6.09533955159859,-0.34811949573709183,-25.498432641661783,1.0,Sharpe
