Ticker,n_fast,n_slow,Train_Return[%],Train_Sharpe,Train_MaxDD[%],Train_Trades,Test_Return[%],Test_Sharpe,Test_MaxDD[%],Test_Trades
AAPL,5,10,-17.633087458950992,-0.046943761115788955,-65.61266147215518,422,-45.84656511655968,-0.4434377771316913,-59.542884222688116,194
AAPL,5,20,-80.02029822045587,-0.398654878771514,-85.29811694451755,255,-56.71462029461233,-0.5935024515890858,-59.95111214387203,111
AAPL,5,30,-73.45504551385066,-0.3367386982536049,-79.86529229595712,200,-33.94492841338566,-0.30983003293932027,-47.91725318901949,86
AAPL,5,50,-12.34483314856976,-0.03180342064093075,-61.22789687408482,149,-15.181879582618693,-0.1210020583316056,-39.997804244403056,66
AAPL,5,100,93.88144706835571,0.15314652316086214,-46.501881500827345,99,-12.397909513798295,-0.10058143328444341,-31.62820318857745,35
AAPL,5,150,313.9648370001588,0.3108497157310501,-41.72475659559285,72,9.888214874441255,0.07033796465893702,-34.63596377450272,32
AAPL,5,200,264.6915889571492,0.2849223724457212,-42.3752386749373,61,51.086641310018535,0.3053160566836202,-21.768914475810654,25
AAPL,10,20,-87.9894461246884,-0.5291822666942151,-92.97961626646544,221,-48.135410038811926,-0.465701692010473,-60.4572719736286,97
AAPL,10,30,-55.91025013706835,-0.19802551705430468,-77.45215866482408,159,-29.537649578398987,-0.24863674260718563,-49.38387749389395,67
AAPL,10,50,-49.23770659171426,-0.16648373474525735,-63.192482238784706,115,0.610138611784987,0.004302900545065251,-36.416276733468024,46
AAPL,10,100,-16.517636397991684,-0.042620284715034,-55.13794701676187,79,24.894712454495657,0.16015807038993832,-30.898546341143142,30
AAPL,10,150,174.25762670321788,0.22331376980974094,-44.625359846593284,55,58.87126622936528,0.324561048497096,-26.906849432518854,23
AAPL,10,200,244.80889911733027,0.269001882621122,-42.82246333068983,43,108.68479190920051,0.4873825822562875,-23.36946247739412,18
AAPL,20,30,101.74202812292734,0.16030254272879388,-62.09894964266183,161,-9.27156155094004,-0.06993853336456017,-45.77388770276691,67
AAPL,20,50,220.5590786912045,0.2693088542503817,-46.01199450869022,95,46.3416711617078,0.27236912342102365,-22.705360498678683,35
AAPL,20,100,651.5598161077019,0.43166947857714993,-37.5701971109193,56,56.18565651287412,0.3134448630150676,-22.46404313458037,24
AAPL,20,150,617.5299144069437,0.4144603220459995,-35.11681771939548,36,155.81210838798296,0.6295382637149946,-20.280892032738628,18
AAPL,20,200,465.90677531638215,0.3727976476437003,-42.361044170888384,31,98.55039011959289,0.4548567671047245,-22.71884870194788,11
