Ticker,year,Return[%],Sharpe,MaxDD[%],Trades
AAPL,2018,-22.72981277757981,-1.33428258703837,-36.461857331257875,2
AAPL,2019,46.82616037341697,1.6905764157867516,-16.0833584644806,2
AAPL,2020,38.57242468363471,1.0676242863791903,-20.371917905078252,1
AAPL,2021,24.567515180638985,1.2585012565541056,-5.453336830208711,2
AAPL,2022,-14.38583243524863,-0.7678644206035271,-26.38993418090948,1
AAPL,2023,40.76738062772621,1.9227501996902125,-11.220846891715475,2
AAPL,2024,29.213234087649997,1.4569710684520993,-11.732780893994555,2
ABBV,2022,35.157751402257034,1.2309179892774933,-20.532832505088805,1
ABBV,2023,-7.944743634392544,-0.519886582363534,-20.44546122759312,1
ABBV,2024,4.165805512725674,0.18432291585613797,-18.809227013796402,2
ADBE,2018,4.386295022888207,0.1395095623773777,-23.295888621581916,6
ADBE,2019,24.190157127838155,1.2285964111810248,-10.77009397481522,5
ADBE,2020,14.67831558319096,0.4718811225676845,-19.40339181758072,5
ADBE,2021,5.367931798400877,0.21543197812505857,-19.612628764064834,4
ADBE,2022,-15.009350997924795,-0.5981273614949885,-30.301648676835736,3
ADBE,2023,35.64429507843019,1.233306277259576,-14.031687265698045,5
ADBE,2024,-16.514411338195785,-0.8049683074494788,-26.62898113407588,5
AMT,2018,4.830379443108796,0.25580732555995206,-10.965494369695017,2
AMT,2019,42.75394542123899,1.6784031896039562,-14.19731177733784,1
AMT,2020,-13.397530811609995,-0.7805083699840346,-19.640607951816236,1
AMT,2021,42.37603260916441,1.571629584087169,-15.748856333923111,1
AMT,2022,-16.586365447055414,-0.6951918773798571,-33.53761708518056,1
AMT,2023,33.48357308520457,1.3878768658022835,-8.091638088494568,1
AMT,2024,-8.570346886683529,-0.5240180825925004,-25.27409875000509,1
AMZN,2018,9.621919125595086,0.2532729944518108,-27.191019166064866,2
AMZN,2019,12.441794092712408,0.5051575761610418,-15.527945661800135,0
AMZN,2020,66.42346317352298,1.0103035302469265,-22.568065221720936,1
AMZN,2021,5.48675765167236,0.2157579617978141,-14.513637958692104,0
AMZN,2022,-33.84310978103638,-1.8098292507126623,-40.42453644051778,1
AMZN,2023,61.1257714640808,1.1568114050277936,-19.632584858785485,0
AMZN,2024,49.12974560317995,1.3820270801987042,-8.090269760559599,1
AXP,2018,-0.6490119318844517,-0.02786581620885445,-20.642088157993655,2
AXP,2019,27.237823383310495,1.3079095631701614,-12.148065592184576,0
AXP,2020,21.692517118999096,0.619622222622064,-14.737989884938596,0
AXP,2021,32.52804049546223,0.8927125580273951,-19.752448882907448,0
AXP,2022,-10.304096465310012,-0.5936440457274971,-17.385108316649077,1
AXP,2023,14.21926808276583,0.9661585154839951,-13.68109141430448,0
AXP,2024,60.422134403510285,1.787483435924768,-6.383154129871793,1
BAC,2018,-17.735908073430366,-1.286638025018731,-24.10148806110344,1
BAC,2019,45.64806520299864,1.5714295335497828,-13.530305901312223,1
BAC,2020,17.730215806914586,0.6339930055804882,-12.358204107439065,0
BAC,2021,56.651412774714224,1.5883835386503145,-10.363798508142263,1
BAC,2022,-7.44170251380825,-0.4201590525229114,-17.655797097542525,0
BAC,2023,12.073058563391605,0.6692598349604365,-16.847554935296138,0
BAC,2024,50.347988709014814,1.6555056872384206,-8.672754394172177,1
BA,2018,-12.917120839881571,-0.6843035587279236,-24.65128533632376,1
BA,2019,1.5440034150507562,0.08927673635854178,-14.594867497025243,1
BA,2020,21.287009867553696,0.48085722482128396,-21.841322260623453,1
BA,2021,8.17615512100221,0.22777659927574484,-21.382708028762863,3
BA,2022,30.657630674438497,1.0110706829145948,-16.84355244123421,0
BA,2023,35.97823662628172,1.3737750518687135,-18.71091175081161,1
BA,2024,4.848198683471692,0.20204658294779945,-17.988554481919707,1
BLK,2018,-22.420931648248924,-1.4385169431429883,-32.830666996031056,1
BLK,2019,36.462896793417585,1.6077061821222762,-14.052624160926142,1
BLK,2020,50.69986596126142,2.001449242899398,-8.668776048575799,1
BLK,2021,40.23304701825509,1.3390228785351932,-11.443878553441644,1
BLK,2022,41.04584141705829,1.1636186094375829,-14.696031983302793,1
BLK,2023,28.247887311489865,1.5119558840941885,-13.287839597701245,1
BLK,2024,9.562241059391727,0.6538895385693502,-11.047246315740466,1
CAT,2018,-12.26600945382548,-0.5506079619452047,-28.313305417866484,1
CAT,2019,27.873268452121376,1.4621939616919244,-11.805458189208329,0
CAT,2020,31.088806320550848,1.219795323143466,-10.331436830747709,0
CAT,2021,3.0254907631294556,0.12047473850465772,-26.412843252076236,2
CAT,2022,24.39203905284714,0.9941822885436522,-18.058574466141543,0
CAT,2023,20.7668705492984,0.8735052260983996,-21.191781152801813,1
CAT,2024,24.88875388056109,0.8643485326792634,-13.242356119282428,1
CMCSA,2018,0.6692953705849868,0.03683881434762521,-16.07812353553778,0
CMCSA,2019,28.947906540948225,1.3370571653594452,-10.010085564253867,2
CMCSA,2020,26.062347891411754,1.242239923812187,-11.082717706371659,0
CMCSA,2021,2.462730943137667,0.09863537655916327,-22.319326084364498,1
CMCSA,2022,5.926891808759701,0.302553056398169,-17.813398314501395,1
CMCSA,2023,5.033769488298913,0.30527627143960845,-16.366108848087112,0
CMCSA,2024,-4.846717840452893,-0.3272063132982564,-17.163254406621988,0
COP,2018,-0.6740922990880063,-0.023417618409243418,-28.243655852142236,2
COP,2019,22.315575562626965,0.9799546116783423,-15.122947876599547,0
COP,2020,0.892785654317122,0.02436526093735759,-30.430984524467995,1
COP,2021,71.84808717352243,1.3571031078751172,-18.65125492197285,1
